City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,zyryanovsk,49.7386,84.2719,29.84,87,25,1.21,KZ,1699519365
84,baruun-urt,46.6806,113.2792,5.43,88,82,10.56,MN,1699519365
85,marsa alam,25.0757,34.8918,84.92,57,2,14.2,EG,1699519365
86,erattupetta,9.7,76.7833,83.34,74,69,3.29,IN,1699519366
87,purisima de la concepcion,9.2366,-75.7219,77.5,94,88,1.3,CO,1699519366
88,cole harbour,44.6724,-63.4751,34.97,74,62,18.01,CA,1699519367
89,farafangana,-22.8167,47.8333,82.15,69,84,13.38,MG,1699519367
90,ulladulla,-35.35,150.4667,63.14,93,97,9.91,AU,1699519367
91,san clemente del tuyu,-36.3569,-56.7235,43.99,72,3,7.25,AR,1699519367
92,colonia,50.9333,6.95,51.42,87,100,10.36,DE,1699519319
93,an nuhud,12.7,28.4333,92.79,19,27,10.45,SD,1699519368
94,christchurch,-43.5333,172.6333,51.91,68,100,12.66,NZ,1699519368
95,vorgashor,67.5833,63.95,29.66,96,100,6.78,RU,1699519369
96,kodiak,57.79,-152.4072,33.31,69,100,8.05,US,1699519369
97,acapulco de juarez,16.8634,-99.8901,79.05,87,44,5.26,MX,1699519349
98,lisala,2.15,21.5167,80.65,84,100,3.13,CD,1699519369
99,merizo village,13.2658,144.6691,84.76,86,56,16.53,GU,1699519370
100,thompson,55.7435,-97.8558,26.76,86,100,13.8,CA,1699519370
101,port mathurin,-19.6833,63.4167,77.16,74,58,15.14,MU,1699519370
102,taltal,-25.4,-70.4833,58.24,90,89,5.12,CL,1699519370
103,grand falls-windsor,48.9332,-55.6649,38.5,94,100,5.99,CA,1699519339
104,ilulissat,69.2167,-51.1,28.42,86,100,10.36,GL,1699519371
105,walvis bay,-22.9575,14.5053,61.75,82,2,10.36,NA,1699519371
106,chipinge,-20.1883,32.6236,73.92,59,93,4.21,ZW,1699519371
107,banda aceh,5.5577,95.3222,82.58,76,100,7.54,ID,1699519372
108,vilyuysk,63.7553,121.6247,-5.46,99,25,4.92,RU,1699519372
109,sao felix do xingu,-6.6447,-51.995,71.67,92,95,0.65,BR,1699519372
110,wailua homesteads,22.0669,-159.378,77.79,81,0,16.11,US,1699519372
111,kavieng,-2.5744,150.7967,83.68,80,100,14.0,PG,1699519373
112,palmer,42.1584,-72.3287,37.81,64,100,1.57,US,1699519373
113,waiuku,-37.25,174.75,58.66,77,58,3.94,NZ,1699519373
114,longyearbyen,78.2186,15.6401,26.44,93,100,12.66,SJ,1699519374
115,bethel,41.3712,-73.414,40.19,59,100,5.75,US,1699519374
116,lerwick,60.1545,-1.1494,46.4,76,68,13.13,GB,1699519374
117,yellowknife,62.456,-114.3525,22.41,100,100,4.61,CA,1699519374
118,enewetak,11.3474,162.3373,83.28,79,93,19.82,MH,1699519375
119,port elizabeth,-33.918,25.5701,74.1,58,0,10.36,ZA,1699519375
120,mandalgovi,45.7625,106.2708,12.33,34,0,9.06,MN,1699519375
121,juquitiba,-23.9317,-47.0683,67.62,65,89,4.41,BR,1699519376
122,dem'yanovo,60.3511,47.0842,36.75,95,100,2.62,RU,1699519376
123,salinopolis,-0.6136,-47.3561,79.7,83,82,9.13,BR,1699519376
124,nagqu,31.5,92.0,30.15,37,71,9.44,CN,1699519376
125,houghton,47.1219,-88.569,40.82,92,96,25.32,US,1699519377
126,hamilton,39.1834,-84.5333,71.69,74,100,9.22,US,1699519377
127,chonchi,-42.6128,-73.8092,42.12,98,42,2.3,CL,1699519377
128,tura,25.5198,90.2201,77.79,53,0,4.99,IN,1699519377
129,saint-philippe,-21.3585,55.7679,83.1,74,37,9.84,RE,1699519378
130,narimanov,46.6927,47.8498,60.71,47,100,18.84,RU,1699519378
131,champerico,14.3,-91.9167,78.62,86,7,2.95,GT,1699519378
132,hermanus,-34.4187,19.2345,68.38,55,0,9.26,ZA,1699519379
133,baymak,52.5933,58.3225,40.77,75,94,12.03,RU,1699519379
134,mizan teferi,6.9833,35.5833,78.48,52,81,1.63,ET,1699519379
135,hammerfest,70.6634,23.6821,28.85,74,0,6.91,NO,1699519125
136,shache,38.4167,77.2406,60.15,16,100,5.64,CN,1699519380
137,badger,64.8,-147.5333,30.45,67,40,8.05,US,1699519380
138,conception bay south,47.4999,-52.9981,44.04,98,100,2.93,CA,1699519234
139,haiku-pauwela,20.9219,-156.3051,77.04,71,20,8.05,US,1699519380
140,katsuren-haebaru,26.3369,127.8719,82.42,83,100,13.8,JP,1699519381
141,queenstown,-31.8976,26.8753,70.83,42,8,4.32,ZA,1699519381
142,tyukalinsk,55.8732,72.1967,42.57,50,16,10.47,RU,1699519381
143,isafjordur,66.0755,-23.124,41.04,60,75,16.11,IS,1699519382
144,broome,42.2506,-75.833,43.63,63,40,13.0,US,1699519382
145,ulsteinvik,62.3432,5.8487,46.08,68,100,1.01,NO,1699519382
146,san juan,-31.5375,-68.5364,61.54,26,8,5.77,AR,1699519370
147,kismayo,-0.3582,42.5454,81.72,75,94,1.25,SO,1699519383
148,zhezqazghan,47.7833,67.7667,43.38,87,100,13.42,KZ,1699519383
149,sandnessjoen,66.0217,12.6316,33.91,75,0,2.3,NO,1699519384
